Heating DB 99.6% - EPW,Heating DB 99% - EPW,Cooling DB 0.4% - EPW,Cooling DB 1% - EPW
-15.4964,-13.341000000000001,24.196399999999993,22.4
-14.5964,-13.5,23.7,22.040999999999986
-15.4964,-13.341000000000001,24.196399999999993,22.4
-12.9,-11.2,25.296399999999995,23.7
-13.0,-11.3,25.796399999999995,23.9
-11.3964,-10.1,24.996399999999994,23.240999999999985
-19.6964,-17.6,24.3,22.9
-17.296400000000002,-14.4,24.3,22.940999999999985
-17.296400000000002,-14.4,24.3,22.940999999999985
-22.796400000000002,-20.741,19.9,18.5
-22.796400000000002,-20.741,19.9,18.5
-22.8964,-21.6,20.196399999999993,18.4
-29.7,-25.6,22.6,21.0
-26.7,-23.5,23.2,21.240999999999985
-25.8,-22.782,22.7,20.1
-13.2964,-11.1,24.596399999999996,22.740999999999985
-13.7964,-12.0,24.0,22.740999999999985
-13.7928,-11.941,23.0,22.0
-19.8,-17.9,24.5,23.040999999999986
-19.8,-17.9,24.496399999999994,23.1
-19.8,-17.9,24.496399999999994,23.1
-15.5892,-12.1,23.196399999999993,21.4
-15.692799999999998,-12.982,25.1,23.5
-17.5,-15.141,24.5,23.540999999999986
0.4,0.8590000000000004,19.6,17.640999999999988
-0.9,-0.1,17.9,16.8
0.0,0.4,19.3,17.6
-1.3,0.059000000000000344,18.796399999999995,17.6
-2.6,-1.6,18.296399999999995,17.1
-1.9964,-0.7,18.2,17.2
-4.5,-2.9,21.7,20.4
-4.8964,-3.1,20.3,19.0
-6.6964,-5.7,22.4,20.340999999999987
-5.6928,-4.3,23.0,21.7
-5.4,-3.0409999999999995,22.3,21.0
-5.4,-2.7,22.196399999999993,20.840999999999987
-9.5,-7.340999999999999,24.5,22.5
-10.7,-9.2,23.6,22.1
-10.696399999999999,-9.3,24.796399999999995,22.6
-7.9,-6.8,22.2,20.8
-9.9,-7.6,23.7,21.7
-9.3,-8.5,25.289199999999983,22.5
-11.3964,-9.141,19.696399999999993,18.4
-11.5,-9.0,22.9,21.440999999999985
-9.3,-8.3,22.7,20.5
-3.6928,-2.8,22.8,21.540999999999986
-3.7,-2.7,24.3,23.2
-5.096399999999999,-3.4,24.1,22.7
-17.6,-15.5,21.996399999999994,20.5
-14.2,-12.1,22.6,21.3
-13.4,-11.1,23.49279999999999,21.8
-11.196399999999999,-9.9,25.8,23.4
-12.1,-10.6,23.692799999999988,22.440999999999985
-13.8964,-11.4,23.996399999999994,22.440999999999985
-6.1964,-5.3,21.0,19.8
-5.1,-4.2,22.5,20.7
-6.1964,-5.3,21.696399999999993,20.1
-15.3964,-13.7,17.796399999999995,16.9
-15.9964,-13.982,18.3,17.2
-15.0,-12.7,19.396399999999993,18.0
-16.796400000000002,-14.5,22.696399999999993,19.881999999999973
-13.8,-12.5,22.3,19.2
-17.296400000000002,-14.9,22.696399999999993,20.6
-23.5928,-20.441,17.096399999999996,15.5
-26.392799999999998,-20.841,17.096399999999996,15.5
-25.1964,-22.641000000000002,16.8,14.940999999999987
-11.0964,-7.741,23.196399999999993,21.8
-7.6,-6.5409999999999995,22.096399999999996,20.9
-13.7964,-10.441,25.1,23.2
-18.4928,-16.3,19.696399999999993,18.6
-18.4928,-16.3,19.8,18.5
-22.796400000000002,-18.941,19.8,18.7
-17.296400000000002,-15.641,19.696399999999993,18.1
-16.796400000000002,-15.5,19.8,18.1
-18.9928,-17.0,22.3,20.1
-27.3,-25.1,19.796399999999995,17.8
-25.796400000000002,-23.1,17.8,17.0
-27.7,-25.7,19.796399999999995,17.2
-21.1964,-18.4,22.596399999999996,19.440999999999985
-25.3,-22.7,17.5,16.3
-26.3964,-23.641000000000002,19.7,18.0
-18.4964,-16.482,18.2,16.3
-18.1,-15.7,21.9,19.6
-18.1,-15.7,21.9,19.6
-16.8964,-15.2,15.7,12.9
-19.0,-16.441,15.6,13.140999999999986
-21.0,-17.9,15.6,13.140999999999986
-19.1964,-17.5,23.0,21.9
-19.796400000000002,-17.341,25.996399999999994,23.5
-19.9892,-18.141000000000002,27.1,24.3
-20.8,-19.3,24.3,23.040999999999986
-19.3964,-17.4,26.4,24.1
-19.596400000000003,-18.9,28.29279999999999,25.5
-19.2,-15.9,16.7,15.240999999999985
-14.2,-13.3,17.8,15.9
-14.3,-13.6,17.8,15.9
-16.796400000000002,-14.8,25.5,22.681999999999974
-16.8,-15.141,26.996399999999994,24.7
-17.2,-15.8,23.096399999999996,22.0
-18.8,-17.0,19.1,18.0
-20.3964,-18.241,18.5,17.3
-17.8,-16.2,19.496399999999994,18.3
-21.1,-19.8,25.7,23.3
-23.8,-21.5,24.9,23.140999999999988
-22.8,-20.5,24.5,22.3
-17.4964,-15.141,27.0,24.1
-13.0964,-11.941,26.7,24.2
-17.0,-15.1,24.896399999999993,23.0
-16.2,-14.5,27.196399999999993,25.0
-16.2,-14.5,27.1,24.640999999999988
-17.596400000000003,-15.6,23.896399999999993,22.4
-18.6964,-16.6,24.496399999999994,22.5
-20.2,-17.5,27.9,24.28199999999997
-20.2,-17.5,27.9,24.28199999999997
-26.5,-24.241,25.4,23.740999999999985
-24.3,-19.7,23.3,22.1
-24.596400000000003,-22.3,24.6,22.340999999999987
-17.6964,-16.1,27.6,25.28199999999997
-22.3964,-19.682000000000002,24.5,23.0
-21.0,-17.841,28.296399999999995,25.540999999999986
-27.8964,-24.441,25.296399999999995,22.9
-26.0,-24.022999999999996,22.496399999999994,20.9
-29.5,-27.041,25.5,23.2
-24.2928,-20.6,24.1,22.5
-23.8,-22.141000000000002,24.296399999999995,23.040999999999986
-23.796400000000002,-21.5,24.596399999999996,23.1
-2.2,-0.5,18.396399999999993,17.440999999999985
-1.8,-0.9,18.2,17.4
-1.9964,-1.1,20.99279999999999,18.5
-1.2,-0.7,20.696399999999993,19.0
-2.0964,-0.3,19.896399999999993,18.4
-0.7,-0.34099999999999964,22.096399999999996,20.040999999999986
-4.5,-3.2,22.0,20.0
-6.0,-4.0,21.0,19.7
-5.0,-3.9,21.0,19.240999999999985
-2.2963999999999998,-0.7409999999999997,19.2,18.4
-1.6,-1.1,20.296399999999995,19.240999999999985
-1.5,-0.7,18.9,18.2
-4.3964,-2.5409999999999995,18.8,17.9
-4.2,-3.2,18.8,18.0
-4.7,-4.0,19.4,17.8
-5.2,-3.7,22.892799999999987,21.181999999999974
-10.9,-8.541,23.2,20.6
-6.3,-3.8,23.192799999999988,21.340999999999987
-2.6964,-1.7,22.096399999999996,20.3
-3.2,-1.9,22.5,21.0
-3.2,-1.9,22.5,21.0
-8.9,-7.7,22.8,20.6
-7.4,-6.2,22.4,20.5
-7.4,-6.2,22.4,20.5
-4.9963999999999995,-3.9,22.896399999999993,21.440999999999985
