,Location Name,Coordinates,URL for files
1118,Cove.Island.Lighthouse ON CAN,"['-81.73580', '45.32580', '180.7']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Cove.Island.Lighthouse.714390_TMYx.2004-2018.zip
1119,Cove.Island.Lighthouse ON CAN,"['-81.73500', '45.32700', '180.7']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Cove.Island.Lighthouse.714390_TMYx.2007-2021.zip
1120,Cove.Island.Lighthouse ON CAN,"['-81.73500', '45.32700', '180.7']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Cove.Island.Lighthouse.714390_TMYx.zip
1121,Standard.AgCM AB CAN,"['-112.9819', '51.22830', '901.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Standard.AgCM.714400_TMYx.2004-2018.zip
1122,Standard.AgCM AB CAN,"['-112.9819', '51.22830', '901.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Standard.AgCM.714400_TMYx.2007-2021.zip
1123,Standard.AgCM AB CAN,"['-112.9819', '51.22830', '901.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Standard.AgCM.714400_TMYx.zip
1124,Gretna MB CAN,"['-97.55000', '49.01700', '253.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Gretna.714410_TMYx.2004-2018.zip
1125,Gretna MB CAN,"['-97.56000', '49.03080', '253.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Gretna.714410_TMYx.2007-2021.zip
1126,Gretna MB CAN,"['-97.56000', '49.03080', '253.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Gretna.714410_TMYx.zip
1127,Fisher.Branch MB CAN,"['-97.55450', '51.08330', '253.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Fisher.Branch.714420_TMYx.2004-2018.zip
1128,Fisher.Branch MB CAN,"['-97.55450', '51.08330', '253.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Fisher.Branch.714420_TMYx.2007-2021.zip
1129,Fisher.Branch MB CAN,"['-97.55450', '51.08330', '253.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Fisher.Branch.714420_TMYx.zip
1130,Swan.River.AP MB CAN,"['-101.2331', '52.11500', '335.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Swan.River.AP.714430_TMYx.2004-2018.zip
1131,Swan.River.AP MB CAN,"['-101.2331', '52.11500', '335.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Swan.River.AP.714430_TMYx.2007-2021.zip
1132,Swan.River.AP MB CAN,"['-101.2331', '52.11500', '335.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Swan.River.AP.714430_TMYx.zip
1133,Wasagaming MB CAN,"['-99.94200', '50.65500', '627.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Wasagaming.714440_TMYx.2004-2018.zip
1134,Wasagaming MB CAN,"['-99.94200', '50.65500', '627.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Wasagaming.714440_TMYx.2007-2021.zip
1135,Wasagaming MB CAN,"['-99.94200', '50.65500', '627.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_Wasagaming.714440_TMYx.zip
1136,George.Island MB CAN,"['-97.61640', '52.81860', '222.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_George.Island.714450_TMYx.2004-2018.zip
1137,George.Island MB CAN,"['-97.61640', '52.81860', '222.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/MB_Manitoba/CAN_MB_George.Island.714450_TMYx.2007-2021.zip
