,Location Name,Coordinates,URL for files
613,Huejucar ZAC MEX,"['-103.3670', '22.38300', '1932.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Huejucar.765180_TMYx.zip
614,Colotlan JAL MEX,"['-103.2670', '22.10000', '1673.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/JAL_Jalisco/MEX_JAL_Colotlan.765190_TMYx.2004-2018.zip
615,Colotlan JAL MEX,"['-103.2670', '22.10000', '1673.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/JAL_Jalisco/MEX_JAL_Colotlan.765190_TMYx.2007-2021.zip
616,Colotlan JAL MEX,"['-103.2670', '22.10000', '1673.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/JAL_Jalisco/MEX_JAL_Colotlan.765190_TMYx.zip
617,Zacatecas-La.Bufa.Hill ZAC MEX,"['-102.5670', '22.78300', '2612.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Zacatecas-La.Bufa.Hill.765250_TMYx.2004-2018.zip
618,Zacatecas-La.Bufa.Hill ZAC MEX,"['-102.5670', '22.78300', '2612.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Zacatecas-La.Bufa.Hill.765250_TMYx.2007-2021.zip
619,Zacatecas-La.Bufa.Hill ZAC MEX,"['-102.5670', '22.78300', '2612.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Zacatecas-La.Bufa.Hill.765250_TMYx.zip
620,Zacatecas-Ruiz.Intl.AP ZAC MEX,"['-102.6870', '22.89700', '2176.6']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Zacatecas-Ruiz.Intl.AP.765255_TMYx.2004-2018.zip
621,Zacatecas-Ruiz.Intl.AP ZAC MEX,"['-102.6870', '22.89700', '2176.6']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Zacatecas-Ruiz.Intl.AP.765255_TMYx.2007-2021.zip
622,Zacatecas-Ruiz.Intl.AP ZAC MEX,"['-102.6870', '22.89700', '2176.6']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Zacatecas-Ruiz.Intl.AP.765255_TMYx.zip
623,Zacatecas ZAC MEX,"['-102.5000', '22.75000', '2440.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Zacatecas.765260_TMYx.2007-2021.zip
624,Zacatecas ZAC MEX,"['-102.5000', '22.75000', '2440.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Zacatecas.765260_TMYx.zip
625,San.Luis.Potosi-Arriaga.Intl.AP SLP MEX,"['-100.9310', '22.25400', '1839.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SLP_San_Luis_Potosi/MEX_SLP_San.Luis.Potosi-Arriaga.Intl.AP.765390_TMYx.2004-2018.zip
626,San.Luis.Potosi SLP MEX,"['-100.9875', '22.17580', '1883.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SLP_San_Luis_Potosi/MEX_SLP_San.Luis.Potosi.765390_TMYx.2007-2021.zip
627,San.Luis.Potosi-Arriaga.Intl.AP SLP MEX,"['-100.9875', '22.17580', '1883.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SLP_San_Luis_Potosi/MEX_SLP_San.Luis.Potosi-Arriaga.Intl.AP.765390_TMYx.zip
628,Tamuin SLP MEX,"['-98.76700', '22.00000', '104.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SLP_San_Luis_Potosi/MEX_SLP_Tamuin.765430_TMYx.2004-2018.zip
629,Tamuin SLP MEX,"['-98.76700', '22.00000', '104.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SLP_San_Luis_Potosi/MEX_SLP_Tamuin.765430_TMYx.2007-2021.zip
630,Tamuin SLP MEX,"['-98.76700', '22.00000', '104.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SLP_San_Luis_Potosi/MEX_SLP_Tamuin.765430_TMYx.zip
631,Tampico TAM MEX,"['-97.85000', '22.20000', '25.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Tampico.765480_TMYx.2004-2018.zip
632,Tampico TAM MEX,"['-97.85000', '22.20000', '25.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Tampico.765480_TMYx.2007-2021.zip
633,Tampico TAM MEX,"['-97.85000', '22.20000', '25.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Tampico.765480_TMYx.zip
634,Tampico-Mina.Intl.AP TAM MEX,"['-97.86600', '22.29600', '24.4']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Tampico-Mina.Intl.AP.765493_TMYx.2004-2018.zip
635,Tampico-Mina.Intl.AP TAM MEX,"['-97.86600', '22.29600', '24.4']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Tampico-Mina.Intl.AP.765493_TMYx.2007-2021.zip
636,Tampico-Mina.Intl.AP TAM MEX,"['-97.86600', '22.29600', '24.4']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Tampico-Mina.Intl.AP.765493_TMYx.zip
637,Isla.Marias NAY MEX,"['-106.6330', '21.53300', '4.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/NAY_Nayarit/MEX_NAY_Isla.Marias.765510_TMYx.2007-2021.zip
